ax,ay,az
-733.4453,-93.489365,0.5081939
-69.932526,-120.24508,-191.27306
593.58026,-147.0008,-383.05432
621.8706,-64.98055,-284.9906
14.908179,125.82084,102.931946
-592.05426,316.62222,490.8545
-343.4001,214.20308,432.51434
-94.74593,111.783936,374.17422
109.363144,6.1568937,229.90622
268.92502,-102.678185,-0.29377276
428.48688,-211.51326,-230.49376
248.63898,-133.96721,-175.38779
68.79107,-56.42115,-120.2818
-53.3353,22.31791,-40.144352
-117.738914,102.25194,65.02826
-182.14099,182.18405,170.19836
143.73749,53.31176,352.99075
469.61597,-75.56054,535.78314
398.6319,-143.22902,434.93802
-69.1958,-149.69658,50.468994
-537.0235,-156.16414,-334.00003
-310.55963,22.188608,-532.25104
-84.09573,200.54135,-730.502
149.51436,245.90881,-762.87286
390.27032,158.29732,-629.37134
631.02625,70.68583,-495.86987
532.4556,19.50866,-18.179491
433.88498,-31.668509,459.5109
226.40608,-56.638794,697.14667
-89.98629,-55.400948,694.71643
-406.37866,-54.163105,692.28613
-539.5185,-31.729584,58.17269
-672.65826,-9.296062,-575.9408
-387.22952,-4.870035,-693.3148
316.78778,-18.452358,-293.92484
1020.8051,-32.034683,105.465164
438.31137,-11.238912,110.76938
-144.18234,9.556859,116.07359
-456.57513,48.538147,79.55705
-498.85513,105.707184,1.2158881
-541.1341,162.87486,-77.12341
-266.4471,-49.596416,89.32956
8.239878,-262.0677,255.78253
194.20306,-272.95575,308.83362
291.4467,-82.27023,248.48819
388.69028,108.4153,188.14278
-64.70181,7.8720245,-135.8224
-518.09393,-92.67125,-459.7876
-483.1874,-82.81127,-636.1615
39.994396,37.44668,-664.9511
563.1762,157.70464,-693.7407
107.36192,163.9948,-0.5009169
-348.45236,170.28497,692.7389
-421.35388,60.002415,899.2522
-111.324356,-166.85844,619.0159
198.70515,-393.7193,338.7796
216.63681,-100.1166,-181.29146
234.56847,193.4861,-701.3625
167.28111,279.13388,-711.5602
14.770671,156.81688,-211.86015
-137.73976,34.499855,287.83987
-52.254982,114.66257,608.1343
33.229797,194.82527,928.4287
-135.85995,167.21544,759.8344
-559.5465,31.824686,102.31229
-983.22296,-103.56284,-555.19415
-107.57983,-248.94922,-697.76886
768.0633,-394.33557,-840.34357
1032.9941,-282.93008,-680.25745
687.2418,85.25502,-217.52495
341.48956,453.44012,245.20753
203.55908,241.98767,510.89764
65.62862,30.535213,776.58777
-70.02309,-112.54096,737.7633
-203.39613,-187.24411,394.4387
-336.7692,-261.94727,51.114098
-291.27005,-163.11444,-93.278946
-245.77092,-64.28163,-237.672
-172.05753,-17.47299,-316.24698
-70.12854,-22.690996,-329.00073
31.800444,-27.909004,-341.7545
338.93976,124.847855,-71.3346
646.07904,277.6047,199.08528
468.81677,263.56033,210.883
-192.87022,82.70673,-35.953796
-854.55725,-98.14686,-282.7906
-662.3175,-145.01689,-203.70139
-470.07776,-191.88692,-124.612175
-215.68018,-121.37415,69.23006
100.88581,66.53149,377.83813
417.44424,254.43265,686.43884
344.76328,206.69936,162.52608
272.08234,158.96606,-361.3867
77.59505,28.204706,-550.9651
-238.69275,-185.58076,-406.22498
-554.9805,-399.36624,-261.48486
-433.6498,-284.02243,-202.49483
-312.3191,-168.67862,-143.50479
-13.946071,-51.76461,16.835606
461.46075,66.71953,278.5215
936.8676,185.20367,540.20746
538.0141,263.65662,333.044
139.16054,342.10953,125.88059
-67.83113,189.3558,-76.90058
-82.95177,-194.6156,-275.29932
-98.07241,-578.58704,-473.69803
-65.50067,-280.98416,-218.1191
-32.92893,16.618658,37.459843
-18.531769,189.01683,171.64731
-22.310059,236.20438,184.4375
-26.08835,283.3919,197.2277
-231.84007,79.37301,109.66207
-437.5918,-124.6459,22.096434
-356.93488,-101.079834,-29.040833
10.153046,150.08803,-43.74835
377.23224,401.2499,-58.455513
154.78499,35.968483,139.69626
-67.66225,-329.31293,337.84805
-96.84551,-391.21976,295.41345
67.22597,-149.7664,12.403964
231.29745,91.68694,-270.60553
32.724224,-25.724554,-428.408
-165.849,-143.13605,-586.21045
11.473638,-114.963905,-476.39938
564.6742,58.784935,-98.98748
1117.8748,232.53377,278.42444
619.6222,199.87447,307.10843
121.36963,167.21515,335.79245
-219.07095,84.55875,330.33698
-401.69202,-48.097137,290.74036
-584.31305,-180.75302,251.14377
-395.02167,-143.40353,48.06617
-205.73026,-106.054054,-155.01143
-111.5145,-95.49549,-271.04758
-112.37894,-111.729126,-300.03812
-113.24336,-127.96277,-329.0287
124.91272,63.450684,-57.144283
363.06882,254.86414,214.74011
239.33917,247.92325,309.67084
-246.305,42.613663,227.63745
-731.93756,-162.69102,145.60603
-188.17622,-81.89799,229.64096
355.5851,-1.1049429,313.6759
349.2295,22.941797,59.91181
-207.2169,-9.755057,-531.63513
-763.66327,-42.451912,-1123.1821
-351.4971,-21.823025,-919.13464
60.66907,-1.1941364,-715.08716
285.15744,86.50524,-155.59972
321.97696,241.27193,759.3107
358.7965,396.0386,1674.2211
-52.483208,176.13771,929.2997
-463.7629,-43.76316,184.3782
-595.875,-175.0169,-349.261
-448.80612,-217.6193,-671.6078
-301.73727,-260.22168,-993.95465
64.17479,-85.152885,-234.53326
430.08685,89.91589,524.8881
510.28894,155.81718,760.61304
304.76743,112.54579,472.61655
99.24592,69.2744,184.62004
224.7704,98.04526,-154.40456
350.2949,126.81611,-493.42917
298.55472,69.99267,-517.3926
69.535965,-72.43255,-226.27287
-159.47734,-214.85437,64.839905
-99.45962,-169.71103,29.697926
-39.4419,-124.567696,-5.444049
122.06825,-28.255125,113.90251
385.06598,119.224236,387.73026
648.0637,266.7036,661.558
103.16693,93.69771,267.55545
-441.72986,-79.30818,-126.44707
-469.0085,-154.96655,-328.97678
21.306334,-133.28206,-340.04282
511.6212,-111.59756,-351.10886
69.860245,-133.23853,121.91987
-371.9007,-154.87949,594.9486
-382.7498,-148.17773,677.4119
37.33352,-113.131905,369.2911
457.4168,-78.086075,61.170322
201.27707,20.885073,-125.3934
-54.86267,119.856224,-311.95712
-250.3464,97.818535,-472.59988
-385.1712,-45.233757,-607.32043
-519.99603,-188.28606,-742.041
-83.14546,-12.91146,-250.96968
353.7051,162.46313,240.10165
289.6034,212.67587,495.2781
-275.48798,137.719,514.5489
-840.5659,62.7639,533.8192
-594.35156,15.502373,-185.9202
-348.13724,-31.759157,-905.6596
-99.43469,-5.768387,-1005.6838
151.75592,93.47119,-486.02216
402.94653,192.71077,33.639416
168.4424,140.04376,349.97305
-66.06174,87.37677,666.3067
-108.746284,35.34356,653.20874
40.37962,-16.055899,310.69492
189.50552,-67.45536,-31.818926
120.77026,-181.2207,49.642654
52.035007,-294.98605,131.10423
129.40846,-248.74539,7.346997
352.89758,-42.49112,-321.63885
576.3867,163.76315,-650.6247
400.5372,211.24199,-335.26913
224.68767,258.72083,-19.913548
38.95722,161.01643,183.02806
-156.65463,-81.87811,273.55032
-352.26648,-324.77264,364.0726
-54.494125,-140.85039,83.391426
243.27823,43.071888,-197.28976
267.12073,136.59929,-277.5688
17.014332,139.7276,-157.43323
-233.08609,142.85583,-37.30054
-239.52164,7.174497,18.076302
-245.9572,-128.50684,73.45315
-203.17879,-103.00021,76.2705
-111.18879,83.68669,26.530878
-19.19879,270.3736,-23.208746
151.20445,40.201508,-70.823265
321.6077,-189.97058,-118.437775
310.40408,-257.97913,-30.36627
117.602295,-163.83185,193.3848
-75.1995,-69.68457,417.13586
-95.650314,71.57312,149.88773
-116.101135,212.83081,-117.3604
-127.601814,201.44615,-143.1083
-130.15195,37.411842,72.65552
-132.70207,-126.62246,288.41934
-132.58221,-20.362423,228.3882
-132.46236,85.89761,168.35704
-62.61129,80.49489,94.013176
76.97431,-36.57594,5.3559074
216.55992,-153.64676,-83.30136
123.21474,-177.66928,-53.83628
29.869547,-201.6918,-24.371199
-49.742126,-162.79306,-43.27092
-115.6212,-60.967632,-110.53935
-181.4987,40.855373,-177.80618
56.88589,-13.450849,-22.647837
295.27048,-67.75707,132.5105
227.97394,-54.90631,164.8595
-144.98918,25.098234,74.40501
-517.9523,105.102776,-16.04949
-388.2665,68.26162,129.43384
-258.58075,31.420465,274.91714
-95.75458,59.17486,178.72778
100.21044,151.52171,-159.12273
296.17548,243.86858,-496.97327
162.47931,104.21945,-370.63403
28.783152,-35.42966,-244.29482
25.676016,-52.683414,-81.68089
153.16412,52.46404,117.20949
280.65225,157.6115,316.09985
104.14546,34.736717,176.32016
-72.36131,-88.138054,36.540466
-203.06331,-176.23389,-53.788548
-287.95834,-229.54912,-94.66452
-372.8534,-282.86435,-135.5405
-116.9112,6.978656,-365.9305
139.03098,296.82166,-596.32056
265.21817,323.25537,-633.45465
261.64413,86.2616,-477.3198
258.07016,-150.72653,-321.1887
230.60527,-94.95377,242.38454
203.14037,-39.18101,805.95776
109.720825,-48.43377,833.301
-49.650223,-122.70895,324.43976
-209.02127,-196.98413,-184.42146
-192.33827,-88.50249,-183.24763
-175.65526,19.979153,-182.0738
-79.75768,119.246765,-77.66288
95.350685,209.3008,129.98021
270.45905,299.35483,337.62332
26.381191,165.38754,299.7575
-217.69667,31.420258,261.89172
-317.37335,-106.36711,342.6566
-272.642,-247.97475,542.05774
-227.91061,-389.5824,741.4589
-115.54097,-215.6389,-44.361687
-3.1713247,-41.6954,-830.1823
133.04608,79.63441,-1004.0817
293.11237,148.34802,-566.0307
453.17865,217.06163,-127.9797
-73.0019,136.96864,117.902985
-599.18243,56.87566,363.78568
-606.6716,8.581904,309.2011
-95.43237,-7.911495,-45.873455
415.79465,-24.404503,-400.93958
398.11722,-112.90109,-442.53165
380.4398,-201.39767,-484.12372
259.54126,-159.08952,-335.54285
35.42662,14.017138,3.201905
-188.68803,187.1238,341.94666
91.58486,89.85442,391.12933
371.85776,-7.4149504,440.31204
342.51083,-44.660107,315.94885
3.55886,-21.883907,18.048046
-335.39313,0.8922915,-279.85275
-12.013792,112.92797,-212.79784
311.36554,224.96364,-145.74292
458.88037,201.43225,48.003815
430.52234,42.327324,368.44843
402.1643,-116.7776,688.893
166.74287,-91.839615,508.32965
-68.67857,-66.90163,327.7663
-289.31604,-6.354743,71.67342
-495.16885,89.802734,-259.95258
-701.02167,185.9602,-591.57855
-798.2242,-34.284138,-346.34372
-895.4267,-254.52849,-101.10885
-604.9187,-255.18718,3.1351483
73.33445,-36.24453,-33.619324
751.5715,182.6929,-70.372925
349.3379,187.21033,-118.32907
-52.89565,191.72777,-166.28522
-228.10791,122.62743,-81.63559
-176.3097,-20.087154,135.61348
-124.51149,-162.80174,352.86255
278.60675,-186.3715,280.52368
681.725,-209.94127,208.18484
597.31964,-198.14056,12.442027
25.413979,-150.97105,-306.69888
-546.4917,-103.801544,-625.8398
-150.21223,34.53079,-244.60443
246.06721,172.86311,136.6309
363.241,200.19693,221.26761
201.29582,116.526955,9.291519
39.350636,32.856968,-202.68457
229.1329,95.201256,-15.850577
418.91516,157.54555,170.98341
313.1212,117.09492,326.22656
-88.26318,-26.155537,449.87735
-489.64755,-169.40599,573.52814
-609.5026,-138.2701,262.3515
-729.35767,-107.13419,-48.825138
-474.48917,-70.01103,-193.0681
155.13579,-26.899296,-170.36888
784.7457,16.21141,-147.6702
138.62538,127.69719,-336.792
-507.49496,239.18295,-525.9138
-586.85156,155.84877,-390.763
-99.47145,-122.2961,68.64492
387.90866,-400.44098,528.05286
432.8299,-198.62717,115.987366
477.75113,3.1866386,-296.07812
263.44742,123.577194,-502.46173
-210.06888,162.54839,-503.17325
-683.58514,201.51959,-503.88477
-299.14267,-111.94245,-42.376602
85.29984,-425.40448,419.1316
195.9377,-385.48358,464.61255
32.75784,7.8371773,94.04645
-130.42201,401.15793,-276.51965
-239.98735,273.2909,41.33102
-349.55267,145.42384,359.18167
-208.68764,32.574783,366.87622
182.6197,-65.25557,64.3998
573.92706,-163.08592,-238.0766
338.9691,-138.06552,-64.45227
104.011086,-113.04512,109.172066
-80.85851,-63.389534,163.4544
-215.64053,10.904175,98.38752
-350.41934,85.19611,33.32218
35.01125,100.39251,-47.236427
420.44186,115.58891,-127.79504
533.3755,122.04895,-66.3009
373.82516,119.77305,137.2392
214.27483,117.49715,340.7793
68.90951,84.54978,249.59888
-76.45582,51.602413,158.41846
-152.96288,-6.6900406,189.25203
-160.61494,-90.32638,342.0938
-168.267,-173.9627,494.93558
-36.282124,-151.10718,-61.098618
95.70276,-128.25163,-617.1328
37.282497,-46.152176,-758.86786
-211.55199,95.19403,-486.28406
-460.38647,236.54024,-213.70026
-378.0655,73.98291,32.256374
-295.7445,-88.57442,278.213
-120.038704,-130.28436,319.2616
149.05637,-51.141167,155.3924
418.15143,28.002026,-8.476811
59.26798,127.24679,-313.36926
-299.61548,226.49155,-618.2617
-339.0681,211.18555,-572.86487
-59.06805,81.32024,-177.15256
220.92535,-48.54198,218.55031
185.06543,10.053849,497.71704
149.2055,68.64968,776.8837
48.84954,14.648488,645.3915
-115.99939,-151.94435,103.25989
-280.84833,-318.5372,-438.87173
12.969909,-136.35956,-239.52475
306.78815,45.818073,-40.177753
311.15622,86.36586,97.8838
26.087982,-14.70945,174.66283
-258.98026,-115.78476,251.44186
119.48775,-75.323494,-27.592115
497.95575,-34.862225,-306.6261
527.99475,-54.630417,-392.39145
209.58807,-134.63094,-284.879
-108.818596,-214.63145,-177.36655
-310.55035,-104.273994,-221.30513
-512.2821,6.0834727,-265.2437
-307.51498,101.638,-237.07924
303.77042,182.38889,-136.80827
915.05585,263.13977,-36.53729
550.0944,31.514719,218.03856
185.13306,-200.11034,472.6144
-8.0086355,-190.92023,445.59497
-29.322954,59.1025,136.9595
-50.636765,309.11926,-171.66861
-112.84766,127.99648,-243.45108
-175.05855,-53.126293,-315.23352
-201.98677,-122.80986,-191.564
-193.63403,-81.059525,127.54821
-185.2813,-39.309185,446.66043
-71.27264,118.52294,235.12486
42.736015,276.35507,23.589294
135.12741,299.02084,-68.24503
205.90259,186.52675,-40.383827
276.67776,74.03263,-12.522622
-284.2589,-61.62282,56.762287
-845.1956,-197.27827,126.047195
-955.8198,-203.54149,103.65583
-616.11017,-80.40628,-10.416175
-276.40045,42.728916,-124.48818
121.20653,55.417,22.093525
518.81354,68.10508,168.67523
500.4334,-4.6411986,314.57867
66.04635,-162.82591,459.80386
-368.3407,-321.01062,605.02905
-195.02533,-182.07907,327.23227
-21.709951,-43.147526,49.4355
20.10361,26.549366,-170.33434
-69.59306,27.00831,-332.0783
-159.28758,27.467243,-493.81845
36.905178,-68.51928,-245.62546
233.09795,-164.5058,2.5675275
284.47662,-129.69237,37.87877
191.04816,35.914783,-139.68158
97.61968,201.52194,-317.24194
143.83171,164.76614,-136.20357
190.04373,128.01035,44.834797
198.28487,99.28753,47.156796
168.55693,78.59732,-129.22905
138.829,57.907112,-305.6149
15.1444,9.689431,-265.0219
-108.54019,-38.52825,-224.42894
-34.42866,-48.712856,-104.52895
237.48842,-20.862574,94.68182
509.4055,6.9877105,293.8926
204.05827,13.30131,314.5679
-101.28895,19.614908,335.2432
-419.7055,21.758387,212.46548
-751.192,19.731544,-53.77205
-1082.6785,17.704702,-320.00958
-560.31616,90.127426,-321.15686
-37.953865,162.55014,-322.30414
194.78085,72.793274,-330.6918
137.8728,-179.15694,-346.32065
80.9661,-431.10114,-361.9491
236.90419,-117.030556,-237.96144
392.8423,197.04001,-113.97378
524.437,270.70642,228.49394
631.68945,103.980125,789.43134
738.94196,-62.74616,1350.3687
108.69459,-154.28131,691.14954
-521.55273,-245.81647,31.930414
-705.3657,-191.75528,-378.5566
-442.76566,7.8953032,-540.32336
-180.16557,207.54588,-702.09015
75.251686,179.9881,-114.430954
330.66895,152.43031,473.22824
404.498,113.865524,706.4063
296.7301,64.29321,585.0864
188.96225,14.720903,463.76645
-53.216244,-134.88573,67.01341
-295.39474,-284.49237,-329.73965
-231.8121,-288.52615,-418.26883
137.54625,-146.98012,-198.55946
506.9046,-5.4340963,21.149897
39.74694,71.679054,8.027661
-427.41074,148.7922,-5.0945754
-665.24603,137.90558,-93.46165
-673.7482,39.01261,-257.08102
-682.25024,-59.878,-420.69653
-95.251396,-76.75269,-324.4332
491.74747,-93.627396,-228.16988
761.7253,-36.483387,-143.75603
714.69714,94.6758,-71.19111
667.669,225.83498,1.373823
88.241615,86.24473,42.305874
-491.18576,-53.345516,83.23792
-555.4129,-61.90363,166.78827
-104.46434,60.56414,292.95486
346.48422,183.0319,419.12146
478.16843,109.95368,192.96346
609.85266,36.875446,-33.194527
255.28633,-20.784916,-235.31143
-585.5537,-63.026672,-413.38614
-1426.3937,-105.268425,-591.4608
-736.19745,-7.0945277,-160.22502
-46.001114,91.07938,271.01077
366.32806,93.65282,505.93054
500.77682,0.6212357,544.52496
635.2256,-92.41034,583.1193
156.3567,-45.86977,202.27998
-322.51218,0.67080057,-178.55939
-527.2397,-37.209347,-277.14697
-457.81113,-159.51715,-93.46499
-388.38422,-281.82205,90.21262
286.5744,-188.17218,161.14723
961.533,-94.52233,232.08185
736.65216,-10.281733,55.407925
-388.02518,64.55005,-368.86273
-1512.7025,139.38184,-793.1334
-832.9836,164.63432,-515.84875
-153.2646,189.8868,-238.5641
369.28424,165.15794,56.104507
734.6705,90.45015,368.15625
1100.0566,15.742342,680.20795
475.18887,-80.530624,136.27002
-149.67891,-176.80359,-407.6679
-292.68726,-189.46436,-508.99826
46.18687,-118.50892,-167.69986
385.06097,-47.55349,173.59854
103.63349,-97.35367,521.3577
-177.794,-147.15384,869.1169
-206.60468,-104.91278,690.3144
17.213505,29.373909,-15.074976
241.0317,163.6606,-720.46436
56.444294,177.68414,-573.85535
-128.1431,191.70767,-427.24637
-214.35773,191.21674,-248.0599
-202.19463,176.21024,-36.289356
-190.0318,161.20412,175.47615
-155.1374,42.366665,42.812477
-120.24302,-76.47078,-89.8512
52.221252,-136.03186,-70.1083
362.24884,-136.31941,102.0339
672.2764,-136.60696,274.1761
106.2358,31.639225,151.9529
-459.80484,199.8854,29.729696
-608.0722,187.38765,-105.666954
-338.5863,-5.845431,-254.23643
-69.1004,-199.07852,-402.8059
58.73256,-87.009476,-72.500496
186.56552,25.059557,257.80493
179.5994,113.56999,311.7736
37.827763,178.52069,89.39234
-103.94387,243.4714,-132.9889
89.52195,49.269955,-200.42125
282.98776,-144.93149,-267.8536
269.8857,-214.93332,-138.39738
50.205887,-160.72963,187.95679
-169.47394,-106.52595,514.311
47.68977,-124.743095,516.8765
264.8535,-142.96025,519.4421
266.8263,-110.18774,377.10416
53.592922,-26.421135,89.849106
-159.63538,57.34347,-197.39911
-562.5003,197.50879,-208.95126
-965.3653,337.6741,-220.50343
-808.4261,290.23538,-142.45415
-91.709526,55.201603,25.192284
625.0071,-179.83218,192.83871
724.1871,-113.29299,-122.39208
823.36707,-46.7538,-437.6229
548.7946,-1.2464042,-586.5031
-99.51233,23.230202,-569.0408
-747.8193,47.706806,-551.57837
-202.03505,-51.107925,21.808146
343.7492,-149.92265,595.1947
396.97476,-158.79474,636.9928
-42.381844,-77.71988,147.17706
-481.73843,3.354985,-342.63864
-266.2692,60.713642,-381.59436
-50.799942,118.0723,-420.55005
198.46654,68.17588,-170.45317
481.53186,-88.98074,368.71008
764.59717,-246.13736,907.87335
242.00247,-248.19897,474.4067
-280.59222,-250.26059,40.940067
-507.86716,-158.56035,-152.84087
-439.8066,26.910633,-106.9236
-371.74768,212.3772,-61.00742
-227.08861,121.43127,-81.718864
-82.42955,30.485348,-102.43032
6.7262907,23.562922,-26.057878
40.38155,100.65998,147.39381
74.036804,177.75705,320.84552
19.115416,106.53419,253.24803
-35.805977,35.31133,185.65056
-74.399254,6.3386197,112.906494
-96.6652,19.61404,35.016098
-118.931145,32.88946,-42.8743
-86.90131,105.464584,-173.92558
-54.87148,178.0397,-304.97687
100.12767,128.4607,-248.44232
378.102,-43.27829,-4.312996
656.0763,-215.01727,239.81633
262.4178,-154.69052,313.07864
-131.24074,-94.36376,386.34097
-421.31998,5.587383,234.34407
-607.81494,145.16481,-142.92279
-794.30994,284.74225,-520.18964
-76.817474,36.75795,-503.65347
640.675,-211.22635,-487.11728
849.9978,-274.802,-314.69916
551.1196,-153.95729,13.616185
252.24855,-33.115475,341.92368
-185.79352,122.5566,172.02602
-623.8356,278.2287,2.1283524
-655.6622,237.5118,-250.64984
-281.29263,0.4153069,-586.3046
93.07691,-236.68118,-921.9594
126.67684,-181.75494,-160.08977
160.27678,-126.82872,601.77985
180.91182,-75.69163,847.04803
188.58257,-28.343498,575.7393
196.25333,19.004633,304.43063
156.81528,45.1898,-54.3942
117.37721,71.37497,-413.21902
42.178288,76.787445,-488.7979
-68.7832,61.426235,-281.1173
-179.74469,46.06503,-73.4367
-102.65531,53.16285,108.790375
-25.56594,60.26067,291.01746
25.739132,76.38276,314.5508
51.258675,101.52956,179.38293
76.77822,126.676346,44.21506
-24.086899,48.24534,149.67963
-124.95202,-30.185673,255.1442
-31.823881,-67.82586,286.91656
255.3136,-64.673195,244.99219
542.4443,-61.520615,203.06882
311.93387,-42.820263,-124.70582
81.42347,-24.119913,-452.48047
-104.14125,-50.05892,-529.6028
-244.76245,-120.63516,-356.0847
-385.38364,-191.21141,-182.56659
-236.59229,-83.07208,83.43043
-87.800934,25.067236,349.42746
-62.126827,67.96572,415.26007
-159.5641,45.626488,280.9378
-257.00137,23.287252,146.61555
-22.673386,-42.718037,-2.450021
